"id","speakerKey","speaker","text","filename"
"0.0.1","Sanjaya","サンジャヤ","同じ一族の二つの家系が、戦いに備え、クルクシェートラに集まっていました。","ja/0.0.1.mp3"
"0.0.2","Sanjaya","サンジャヤ","アルジュナは、四人の兄弟とともに、パーンダヴァ側に立っています。戦場の向こうにいるのは、彼らのいとこたちです。長年の対立、失われた王国、追放の日々、そして実を結ばなかった和平の試み。そのすべてが、彼らをここへ導いたのです。","ja/0.0.2.mp3"
"0.0.3","Sanjaya","サンジャヤ","両者の和平に尽くしたクリシュナは、今、アルジュナの戦車を御しています。","ja/0.0.3.mp3"
"0.0.4","Dhritarashtra","ドリタラーシュトラ","サンジャヤよ、我が息子たちとパーンドゥの息子たちが、戦うためにクルクシェートラに集まったとき、何が起こったのか。","ja/0.0.4.mp3"
"1.1.1","Sanjaya","サンジャヤ","将たちは、敵陣の様子を見定めていました。法螺貝の音が戦場を越えて響き合います。そのとき、アルジュナが口を開きました。","ja/1.1.1.mp3"
"1.1.2","Arjun","アルジュナ","クリシュナ、戦車を両軍の間へ進めてください。私たちと戦うために来た者たちを、見ておきたいのです。","ja/1.1.2.mp3"
"1.1.3","Krishna","クリシュナ","見るがよい、アルジュナ。ここにクル一族が集まっている。","ja/1.1.3.mp3"
"1.1.4","Sanjaya","サンジャヤ","そこには、一族の長老ビーシュマがいました。その隣には、師のドローナが立っています。周りにも、親族や友人、長年親しんできた人々の姿がありました。","ja/1.1.4.mp3"
"1.2.1","Arjun","アルジュナ","ここにいるのは、皆、私の身内です。","ja/1.2.1.mp3"
"1.2.2","Arjun","アルジュナ","体から力が抜けていきます。口は渇き、弓を持つ手の震えが止まりません。","ja/1.2.2.mp3"
"1.2.3","Arjun","アルジュナ","私は戦う覚悟でここへ来ました。けれど、目の前にいる人々を見ると、この人たちを殺すことに、少しも善いものを見いだせないのです。","ja/1.2.3.mp3"
"1.3.1","Arjun","アルジュナ","こうして手に入れた王国を、私はどうすればよいのでしょう。その王国をともに喜びたい人々が、あそこに立ち、命を懸けているのです。","ja/1.3.1.mp3"
"1.3.2","Arjun","アルジュナ","彼らは欲に目がくらんでいるのかもしれません。だからといって、私たちまで同じ過ちに踏み込む必要があるのでしょうか。","ja/1.3.2.mp3"
"1.3.3","Arjun","アルジュナ","家族が滅びれば、残された人々はどうなるのでしょう。誰がその暮らしやしきたりを支え、亡くなった者をしのぶ営みを守るのでしょうか。","ja/1.3.3.mp3"
"1.3.4","Sanjaya","サンジャヤ","彼が恐れていたのは、目の前に迫る死と、その後に暮らしやつながりが崩れていくことでした。","ja/1.3.4.mp3"
"1.4.1","Arjun","アルジュナ","武器を捨て、抵抗もしない私を彼らが討つとしても、そのほうが、これよりはましに思えます。","ja/1.4.1.mp3"
"1.4.2","Sanjaya","サンジャヤ","深い悲しみに打ちひしがれ、アルジュナは弓と矢を置き、その場に座り込みました。","ja/1.4.2.mp3"
"2.1.1","Krishna","クリシュナ","アルジュナ、このように崩れてしまうのは、お前にふさわしくない。立ち上がり、目の前の事に向き合うのだ。","ja/2.1.1.mp3"
